area_type,traffic_level,time_of_day,avg_predicted_delivery_time,order_count,demand_share,orders_per_hour,avg_service_time_hours,riders_needed,sla_breach_risk
Suburban,Severe,Afternoon,44.35976744186046,43,0.0086,4.1,0.7393294573643411,4,High
Rural,Severe,Afternoon,44.275333333333336,15,0.003,1.4,0.7379222222222223,2,High
Urban,Severe,Evening,44.25813559322034,59,0.0118,5.7,0.737635593220339,5,High
Suburban,Severe,Evening,43.260666666666665,60,0.012,5.8,0.721011111111111,5,High
Urban,Severe,Afternoon,42.3175294117647,85,0.017,8.2,0.705292156862745,7,High
Urban,Severe,Night,41.5105,40,0.008,3.8,0.6918416666666667,4,High
Suburban,Severe,Morning,40.28545454545454,44,0.0088,4.2,0.6714242424242424,4,High
Rural,Severe,Evening,40.06777777777778,18,0.0036,1.7,0.6677962962962963,2,High
Urban,Severe,Morning,40.06677966101695,59,0.0118,5.7,0.6677796610169492,5,High
Suburban,Severe,Night,38.3575,32,0.0064,3.1,0.6392916666666667,3,High
Rural,Severe,Night,38.324,10,0.002,1.0,0.6387333333333333,1,High
Urban,High,Afternoon,37.855000000000004,210,0.042,20.2,0.6309166666666667,15,High
Urban,High,Evening,37.43748663101604,187,0.0374,18.0,0.6239581105169341,13,High
Rural,Severe,Morning,36.88857142857143,14,0.0028,1.3,0.6148095238095238,1,High
Suburban,High,Evening,35.583503649635034,137,0.0274,13.2,0.5930583941605839,10,High
Suburban,High,Afternoon,35.41917808219178,146,0.0292,14.0,0.5903196347031963,10,High
Urban,High,Night,35.02264150943396,106,0.0212,10.2,0.5837106918238993,7,High
Urban,High,Morning,34.52517045454545,176,0.0352,16.9,0.5754195075757575,12,Low
Rural,High,Afternoon,34.51264705882353,34,0.0068,3.3,0.5752107843137255,3,Low
Suburban,High,Night,33.624545454545455,66,0.0132,6.3,0.560409090909091,5,Low
Urban,Medium,Afternoon,32.963191489361705,282,0.0564,27.1,0.5493865248226951,18,Low
Urban,Medium,Evening,32.50927480916031,262,0.0524,25.2,0.5418212468193385,16,Low
Rural,High,Evening,32.109722222222224,36,0.0072,3.5,0.535162037037037,3,Low
Rural,Medium,Evening,32.03915254237288,59,0.0118,5.7,0.5339858757062147,4,Low
Suburban,High,Morning,31.72490566037736,106,0.0212,10.2,0.528748427672956,7,Low
Suburban,Medium,Evening,31.1575956284153,183,0.0366,17.6,0.5192932604735884,11,Low
Rural,High,Morning,30.543846153846154,39,0.0078,3.7,0.5090641025641026,3,Low
Urban,Medium,Night,30.283286713286714,143,0.0286,13.7,0.5047214452214452,8,Low
Urban,Medium,Morning,29.79714285714286,224,0.0448,21.5,0.4966190476190476,13,Low
Suburban,Medium,Afternoon,29.322931937172775,191,0.0382,18.3,0.48871553228621295,11,Low
Rural,High,Night,27.785882352941176,17,0.0034,1.6,0.46309803921568626,1,Low
Urban,Low,Evening,27.752663755458514,229,0.0458,22.0,0.46254439592430857,12,Low
Urban,Low,Afternoon,27.318251121076234,223,0.0446,21.4,0.45530418535127054,12,Low
Suburban,Medium,Night,27.150581395348834,86,0.0172,8.3,0.4525096899224806,5,Low
Rural,Medium,Afternoon,27.12547169811321,53,0.0106,5.1,0.4520911949685535,3,Low
Urban,Low,Morning,26.848219178082193,219,0.0438,21.0,0.44747031963470324,11,Low
Suburban,Medium,Morning,26.691916167664672,167,0.0334,16.0,0.44486526946107785,9,Low
Rural,Low,Afternoon,26.643389830508475,59,0.0118,5.7,0.44405649717514123,3,Low
Suburban,Low,Evening,26.388,165,0.033,15.8,0.4398,8,Low
Suburban,Low,Afternoon,25.89647435897436,156,0.0312,15.0,0.431607905982906,8,Low
Urban,Low,Night,25.654437086092717,151,0.0302,14.5,0.4275739514348786,8,Low
Rural,Low,Evening,25.526481481481483,54,0.0108,5.2,0.42544135802469135,3,Low
Rural,Medium,Night,24.33,30,0.006,2.9,0.40549999999999997,2,Low
Suburban,Low,Morning,24.193488372093025,129,0.0258,12.4,0.40322480620155043,6,Low
Rural,Medium,Morning,23.96,50,0.01,4.8,0.3993333333333334,3,Low
Suburban,Low,Night,23.580113636363638,88,0.0176,8.4,0.39300189393939394,4,Low
Rural,Low,Night,21.59583333333333,24,0.0048,2.3,0.35993055555555553,1,Low
Rural,Low,Morning,20.973235294117647,34,0.0068,3.3,0.34955392156862747,2,Low
