order_id,distance_km,traffic_level,weather,time_of_day,day_of_week,area_type,package_weight_kg,num_stops,rider_experience_years,rider_rating,vehicle_type,is_peak_hour,fuel_level_pct,delivery_time_minutes
ORD100000,1.96,Medium,Clear,Afternoon,Thu,Urban,1.86,1,1.1,4.25,Scooter,0,59.7,20.98
ORD100001,4.36,Severe,Clear,Afternoon,Sat,Urban,1.93,1,0.2,3.62,Motorcycle,1,42.2,52.86
ORD100002,5.14,High,Fog,Morning,Fri,Rural,1.34,0,9.6,3.69,Motorcycle,0,92.4,28.13
ORD100003,7.89,Medium,Clear,Evening,Fri,Urban,1.13,2,3.2,4.22,Scooter,1,10.8,46.1
ORD100004,2.22,Low,Fog,Afternoon,Thu,Urban,1.51,0,0.8,4.42,Scooter,0,38.9,19.14
ORD100005,3.98,Low,Clear,Night,Thu,Urban,1.11,0,6.2,4.63,Scooter,0,95.1,16.95
ORD100006,1.97,Low,Rain,Morning,Sat,Suburban,1.04,2,7.4,3.93,Scooter,0,54.8,21.77
ORD100007,3.42,High,Fog,Evening,Wed,Urban,10.32,2,4.2,4.21,Motorcycle,1,66.1,47.28
ORD100008,7.34,Medium,Clear,Evening,Sun,Urban,1.02,1,2.7,3.98,Motorcycle,0,57.9,34.77
ORD100009,4.4,High,Clear,Evening,Sat,Urban,0.79,1,1.2,4.75,Motorcycle,1,45.8,41.88
ORD100010,1.64,Low,Clear,Night,Wed,Urban,1.07,1,1.4,4.81,Motorcycle,0,69.9,13.4
ORD100011,2.04,Severe,Rain,Evening,Wed,Urban,1.99,0,1.5,5.0,Scooter,0,79.0,38.54
ORD100012,1.88,High,Clear,Night,Wed,Urban,5.04,0,7.4,4.44,Scooter,0,42.8,15.88
ORD100013,3.86,Low,Rain,Afternoon,Sat,Rural,3.3,1,3.6,5.0,Motorcycle,1,63.1,35.68
ORD100014,2.09,Low,Clear,Afternoon,Mon,Rural,3.89,1,0.9,4.02,Motorcycle,0,17.4,11.36
ORD100015,3.45,Low,Clear,Morning,Mon,Urban,4.12,1,2.4,4.39,Motorcycle,0,59.3,20.91
ORD100016,2.82,Medium,Clear,Morning,Fri,Suburban,5.26,0,2.3,3.88,Motorcycle,0,77.3,14.9
ORD100017,1.46,Medium,Clear,Morning,Mon,Suburban,0.74,0,4.2,4.53,Motorcycle,0,62.7,13.17
ORD100018,2.01,Medium,Clear,Morning,Mon,Urban,1.43,0,0.3,,Scooter,0,89.1,13.93
ORD100019,9.69,Low,Fog,Afternoon,Wed,Urban,1.17,1,3.0,3.32,Motorcycle,1,35.8,49.13
ORD100020,3.18,Medium,Rain,Morning,Wed,Urban,1.16,0,1.0,4.74,Motorcycle,0,54.3,24.49
ORD100021,3.05,Low,Clear,Morning,Thu,Urban,2.31,1,0.3,4.64,Electric_Two_Wheeler,0,17.9,27.38
ORD100022,2.95,Low,Extreme_Heat,Night,Wed,Urban,1.23,0,3.3,4.08,Motorcycle,0,73.0,15.16
ORD100023,4.57,Medium,Rain,Morning,Sat,Suburban,2.12,0,1.0,4.41,Motorcycle,0,49.9,31.44
ORD100024,3.93,Medium,Extreme_Heat,Evening,Thu,Urban,1.16,0,3.3,3.7,Motorcycle,1,57.7,30.87
ORD100025,11.02,High,Clear,Morning,Sun,Suburban,0.95,2,0.4,3.99,Electric_Two_Wheeler,0,21.6,54.57
ORD100026,7.62,Low,Clear,Night,Thu,Urban,1.07,1,10.7,4.97,Electric_Two_Wheeler,0,99.8,39.46
ORD100027,10.81,Medium,Clear,Night,Mon,Urban,3.46,0,4.1,3.84,Motorcycle,0,79.5,46.1
ORD100028,6.1,Medium,Rain,Evening,Wed,Urban,2.04,0,0.9,4.3,Motorcycle,0,46.1,37.97
ORD100029,5.65,Low,Clear,Evening,Mon,Urban,7.5,0,3.4,3.74,Scooter,0,61.3,26.73
ORD100030,1.96,Medium,Clear,Morning,Wed,Suburban,3.78,1,0.4,4.44,Motorcycle,0,65.7,24.48
ORD100031,1.63,Low,Clear,Night,Mon,Suburban,1.53,1,2.6,4.53,Motorcycle,0,96.5,8.85
