distance_km,package_weight_kg,num_stops,rider_experience_years,rider_rating,is_peak_hour,fuel_level_pct,delivery_time_minutes,traffic_level_Low,traffic_level_Medium,traffic_level_Severe,weather_Extreme_Heat,weather_Fog,weather_Rain,time_of_day_Evening,time_of_day_Morning,time_of_day_Night,day_of_week_Mon,day_of_week_Sat,day_of_week_Sun,day_of_week_Thu,day_of_week_Tue,day_of_week_Wed,area_type_Suburban,area_type_Urban,vehicle_type_Motorcycle,vehicle_type_Scooter
10.79,0.77,1,2.4,4.42,0,20.2,56.9,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True
3.72,3.69,1,0.0,4.27,0,86.5,27.28,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False
2.72,5.41,1,2.1,3.58,0,90.2,28.82,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False
4.74,0.62,0,0.2,4.16,0,31.1,18.37,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True
2.48,2.77,1,15.0,4.23,0,91.2,29.11,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True
6.56,2.0,0,2.1,4.24,1,54.1,37.12,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
2.95,2.88,2,4.6,4.3,1,77.6,29.15,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True
2.53,2.19,0,2.5,4.08,0,95.5,19.33,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True
6.13,0.36,0,5.5,4.87,0,74.3,26.83,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False
4.23,0.96,2,4.7,3.87,1,56.9,41.24,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True
1.85,0.85,1,0.8,3.83,0,99.8,17.92,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False
1.9,1.5,1,0.6,4.0,0,26.5,27.69,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,True,False
4.33,4.1,0,2.3,5.0,0,20.3,14.47,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True
4.26,1.02,0,0.3,3.96,0,67.9,31.54,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False
7.98,9.3,1,0.0,4.83,0,29.1,47.77,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True
1.95,1.61,0,1.0,4.3,0,14.4,29.64,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False
4.25,2.27,1,0.4,4.42,0,44.6,24.71,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
5.23,1.0,0,0.7,4.56,0,87.0,34.27,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True
0.74,0.34,0,2.2,3.96,0,85.1,20.46,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True
4.26,4.42,0,2.8,3.97,0,33.3,41.1,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
6.23,1.59,0,1.6,3.07,0,74.5,37.45,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True
3.85,1.22,0,0.7,4.76,1,65.2,27.32,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False
13.7,1.4,0,1.0,3.76,0,23.2,53.91,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
8.42,0.69,0,0.6,4.21,0,98.6,36.73,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False
4.65,1.16,0,1.1,3.12,0,34.5,38.99,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False,True
4.0,1.56,0,0.8,3.71,0,49.0,32.99,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False
7.0,2.26,0,0.8,3.89,1,76.3,38.74,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
3.71,0.98,0,0.9,4.94,0,77.9,27.76,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
3.19,1.52,0,0.4,4.26,0,58.0,36.05,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False
3.54,2.5,1,0.1,4.57,0,71.8,30.24,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False
3.58,1.37,1,1.2,4.0,1,44.3,36.13,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False
4.75,5.25,0,0.6,4.3,0,65.0,25.75,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False
