delivery_id,date,rider_id,vehicle_type,zone,time_of_day,weather,traffic_condition,distance_km,shipment_weight_kg,order_volume_parcels,sla_minutes,delivery_time_min,delayed,fuel_cost_inr,delivery_cost_inr,customer_rating
DEL-10694,2026-05-01,RDR-033,Scooter,Zone E - West,Evening (16-21),Clear,Medium,1.6,1.47,1,40,9.1,0,2.96,23.43,5.0
DEL-10470,2026-05-01,RDR-027,Scooter,Zone A - Central,Afternoon (11-16),Rain,Medium,3.03,3.54,2,30,20.6,0,5.76,33.05,4.7
DEL-11166,2026-05-01,RDR-037,E-Bike,Zone E - West,Night (21-2),Clear,High,2.59,2.83,4,40,24.4,0,1.55,24.97,4.7
DEL-11605,2026-05-01,RDR-007,Motorbike,Zone A - Central,Evening (16-21),Clear,Medium,3.98,2.7,4,30,16.5,0,9.41,34.76,4.8
DEL-10951,2026-05-01,RDR-040,Motorbike,Zone D - East,Evening (16-21),Clear,Medium,3.86,2.89,1,40,18.3,0,8.38,31.54,5.0
DEL-11491,2026-05-01,RDR-009,Scooter,Zone C - South,Morning (6-11),Cloudy,Medium,3.33,1.88,1,35,23.4,0,6.21,29.86,5.0
DEL-11616,2026-05-01,RDR-011,E-Bike,Zone C - South,Evening (16-21),Rain,Medium,4.59,1.9,1,35,27.9,0,2.64,25.24,4.4
DEL-11891,2026-05-01,RDR-059,Scooter,Zone C - South,Morning (6-11),Clear,Medium,4.17,3.66,1,35,16.2,0,7.1,36.57,4.7
DEL-11501,2026-05-01,RDR-011,Motorbike,Zone D - East,Evening (16-21),Clear,High,14.11,2.46,2,40,55.1,1,34.48,63.41,3.3
DEL-11504,2026-05-01,RDR-042,Scooter,Zone E - West,Afternoon (11-16),Clear,Medium,8.16,5.05,1,40,28.0,0,14.23,39.26,5.0
DEL-11707,2026-05-01,RDR-042,Scooter,Zone A - Central,Afternoon (11-16),Clear,High,3.35,0.4,1,30,19.1,0,5.88,29.57,5.0
DEL-10406,2026-05-01,RDR-013,Scooter,Zone B - North,Morning (6-11),Rain,Medium,0.89,1.18,1,35,6.5,0,1.68,29.04,4.8
DEL-11709,2026-05-01,RDR-052,Motorbike,Zone E - West,Evening (16-21),Rain,High,1.75,1.08,2,40,14.7,0,3.7,24.77,4.8
DEL-10875,2026-05-01,RDR-038,Scooter,Zone B - North,Morning (6-11),Cloudy,Medium,6.51,1.27,1,35,27.3,0,12.77,39.53,5.0
DEL-11978,2026-05-01,RDR-015,E-Bike,Zone A - Central,Night (21-2),Clear,Medium,5.03,2.08,1,30,26.0,0,3.16,29.84,5.0
DEL-11359,2026-05-01,RDR-014,Motorbike,Zone C - South,Evening (16-21),Clear,High,9.32,2.26,1,35,36.9,1,21.19,43.46,3.7
DEL-10190,2026-05-01,RDR-023,Scooter,Zone A - Central,Night (21-2),Cloudy,Medium,4.01,1.86,2,30,12.4,0,6.73,28.48,4.8
DEL-11367,2026-05-01,RDR-032,E-Bike,Zone A - Central,Evening (16-21),Clear,Medium,6.05,3.0,1,30,29.2,0,3.81,29.22,5.0
DEL-10979,2026-05-01,RDR-039,Motorbike,Zone E - West,Afternoon (11-16),Clear,Low,4.96,5.65,1,40,17.6,0,11.58,41.6,5.0
DEL-10280,2026-05-01,RDR-052,E-Bike,Zone A - Central,Afternoon (11-16),Clear,High,8.36,2.74,3,30,41.4,1,5.41,27.94,3.4
DEL-11662,2026-05-01,RDR-035,E-Bike,Zone A - Central,Afternoon (11-16),Cloudy,High,6.35,3.52,1,30,35.0,1,3.74,30.21,3.9
DEL-10825,2026-05-01,RDR-025,E-Bike,Zone E - West,Afternoon (11-16),Clear,High,3.22,3.25,1,40,18.6,0,1.96,25.56,5.0
DEL-10724,2026-05-01,RDR-017,Motorbike,Zone B - North,Night (21-2),Clear,Medium,2.4,2.53,1,35,10.9,0,5.75,27.1,5.0
DEL-10832,2026-05-01,RDR-056,Scooter,Zone A - Central,Evening (16-21),Cloudy,Medium,2.12,0.72,3,30,5.4,0,3.89,27.05,4.9
DEL-10634,2026-05-01,RDR-019,Scooter,Zone D - East,Afternoon (11-16),Clear,Medium,4.84,1.31,1,40,25.1,0,8.04,33.06,4.8
DEL-11141,2026-05-01,RDR-036,Scooter,Zone E - West,Morning (6-11),Clear,Low,1.71,2.21,1,40,12.8,0,3.14,34.85,5.0
DEL-11828,2026-05-01,RDR-058,Motorbike,Zone E - West,Evening (16-21),Clear,Medium,2.91,1.73,2,40,15.0,0,6.61,30.73,5.0
