EmployeeID,Age,Gender,Department,JobRole,EducationField,MaritalStatus,BusinessTravel,MonthlyIncome,YearsAtCompany,YearsInCurrentRole,DistanceFromHome,OverTime,JobSatisfaction,WorkLifeBalance,PerformanceRating,NumCompaniesWorked,TrainingTimesLastYear,Attrition
1,41,Male,Research & Development,Research Scientist,Technical Degree,Single,Travel_Rarely,4945.0,4,2,1.0,No,2,2.0,3,0,2,Yes
2,32,Male,Sales,Manager,Medical,Married,Travel_Rarely,8188.0,14,6,1.0,No,3,3.0,3,3,3,No
3,26,Male,Sales,Sales Representative,Human Resources,Single,Travel_Frequently,6118.0,7,4,1.0,No,1,4.0,3,4,7,No
4,42,Female,Research & Development,Research Director,Marketing,Single,Travel_Rarely,4376.0,7,5,20.0,No,4,4.0,3,1,4,No
5,35,Female,Research & Development,Manufacturing Director,Technical Degree,Divorced,Travel_Rarely,3270.0,1,0,5.0,No,4,2.0,3,3,4,Yes
6,43,Male,Research & Development,Research Director,Life Sciences,Married,Non-Travel,5754.0,1,0,1.0,No,2,2.0,3,3,1,Yes
7,27,Female,Research & Development,Manufacturing Director,Other,Married,Travel_Rarely,3025.0,0,0,5.0,Yes,2,4.0,3,1,4,Yes
8,37,Male,Sales,Sales Executive,Other,Married,Travel_Rarely,3060.0,5,4,3.0,Yes,4,4.0,3,2,4,No
9,34,Male,Research & Development,Research Scientist,Other,Divorced,Travel_Frequently,7429.0,11,10,8.0,No,2,3.0,4,3,3,No
10,26,Female,Research & Development,Manufacturing Director,Life Sciences,Divorced,Travel_Rarely,9697.0,6,2,3.0,No,3,4.0,3,1,2,No
11,34,Male,Research & Development,Research Scientist,Life Sciences,Single,Travel_Rarely,16170.0,1,0,2.0,Yes,3,2.0,4,3,6,No
12,26,Male,Research & Development,Research Director,Life Sciences,Married,Travel_Rarely,11513.0,1,0,3.0,No,1,3.0,3,2,1,Yes
13,26,Male,Sales,Manager,Other,Single,Travel_Rarely,1247.0,0,0,1.0,No,3,2.0,3,0,0,No
14,47,Female,Sales,Sales Executive,Medical,Divorced,Travel_Frequently,6120.0,1,0,9.0,Yes,1,4.0,3,0,3,Yes
15,23,Male,Sales,Sales Executive,Human Resources,Single,Non-Travel,5299.0,0,0,21.0,No,3,3.0,3,1,2,No
16,32,Male,Research & Development,Research Director,Human Resources,Married,Travel_Frequently,10788.0,3,2,1.0,No,4,2.0,1,8,3,No
17,29,Male,Human Resources,HR Manager,Life Sciences,Divorced,Travel_Rarely,4352.0,2,0,7.0,No,4,3.0,3,2,3,No
18,31,Female,Research & Development,Research Scientist,Marketing,Married,Non-Travel,7989.0,1,0,16.0,No,2,3.0,3,2,2,Yes
19,35,Male,Sales,Sales Representative,Marketing,Divorced,Travel_Rarely,14036.0,3,1,1.0,No,3,2.0,4,3,1,Yes
20,37,Male,Research & Development,Research Director,Marketing,Single,Travel_Rarely,7010.0,2,0,5.0,No,1,3.0,3,5,3,Yes
21,39,Female,Research & Development,Laboratory Technician,Human Resources,Single,Travel_Frequently,4504.0,6,4,26.0,No,2,4.0,3,1,1,Yes
22,57,Male,Research & Development,Research Scientist,Medical,Single,Travel_Rarely,8671.0,5,3,7.0,No,4,1.0,3,4,2,No
23,45,Female,Sales,Sales Executive,Life Sciences,Married,Travel_Rarely,5230.0,5,2,19.0,No,4,3.0,3,3,0,No
24,35,Male,Research & Development,Research Scientist,Life Sciences,Married,Non-Travel,11132.0,2,0,1.0,No,4,4.0,4,5,3,Yes
25,38,Male,Research & Development,Laboratory Technician,Other,Married,Travel_Rarely,13279.0,9,6,6.0,No,3,2.0,2,3,1,Yes
26,50,Male,Research & Development,Research Scientist,Marketing,Married,Travel_Rarely,7059.0,2,1,15.0,No,1,4.0,3,3,2,No
27,32,Male,Research & Development,Research Director,Life Sciences,Married,Travel_Frequently,4442.0,11,6,8.0,Yes,2,1.0,2,1,1,Yes
28,41,Male,Sales,Sales Representative,Medical,Married,Non-Travel,10716.0,0,0,20.0,Yes,2,4.0,3,1,3,Yes
